id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
0,450.0,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.527308548,0.464892019,37.02177209,6620.09877
1,14.0,37.5,0.75,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.353235517,0.383563534,27.62154773,3662.18313
2,327.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.510102557,0.461903766,37.97024343,6015.22456
3,554.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.483249032,0.445474763,34.53114233,5741.2103
4,685.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.41985138,0.420093742,32.84923819,4813.45285
5,615.0,25.0,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.509782413,0.452143551,36.04067528,6409.14001
6,692.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.517993775,0.466474508,37.87903588,6554.97686
7,16.0,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.288159094,0.359458632,26.48732245,2688.02883
8,169.0,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.475118209,0.439104197,34.52074419,6449.04157
9,249.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.566319234,0.467219599,37.44044874,6771.67497
10,544.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.44371199,0.42727728,32.9240208,4813.45285
11,268.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.523070143,0.466492143,37.97024343,6189.7798
12,194.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.532426131,0.460322355,37.35683231,6465.37205
13,267.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.533883971,0.466492143,37.78237359,6752.17704
14,711.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.423038771,0.407609786,32.5102476,5715.0084
15,416.0,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.587319779,0.488005014,40.28237595,7381.3794
16,707.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.502842336,0.457845739,36.3854328,6394.07791
17,197.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.631033926,0.502961907,42.16770498,7660.88604
18,684.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.505619046,0.450498441,35.18441169,6376.66256
19,474.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.39936701,0.398804938,31.1279858,4323.93099
20,394.0,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.567975637,0.488615886,40.35118636,7440.71201
21,446.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.46751899,0.405558182,32.68039834,5602.02293
22,729.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.450102564,0.412450296,33.07391322,5347.51393
23,17.0,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.226358493,0.395893563,30.8920749,2379.90521
24,660.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.442626748,0.439565369,33.55926075,4947.60566
25,646.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.496618271,0.44252903,35.57209886,6919.34518
26,278.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.546174929,0.45370258,38.38301202,6986.80996
27,656.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.342841074,0.367762987,28.79344014,3998.05416
28,536.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.511480554,0.460305334,36.94898618,5914.16491
29,291.0,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.429000524,0.405525072,31.10161493,1945.53061
